Month;MunicipalityNo;Branche;ConsumptionkWh
2024-12-01 00:00:00;101;Erhverv;138832252,583000
2024-12-01 00:00:00;101;Offentligt;27659243,690000
2024-12-01 00:00:00;101;Privat;46408368,202000
2024-11-01 00:00:00;101;Erhverv;135736981,442000
2024-11-01 00:00:00;101;Privat;43674738,619000
2024-11-01 00:00:00;101;Offentligt;27825242,302000
2024-10-01 00:00:00;101;Erhverv;134448734,211000
2024-10-01 00:00:00;101;Privat;41311144,839000
2024-10-01 00:00:00;101;Offentligt;27265750,884000
2024-09-01 00:00:00;101;Erhverv;129891100,842000
2024-09-01 00:00:00;101;Offentligt;25524491,421000
2024-09-01 00:00:00;101;Privat;37761194,683000
2024-08-01 00:00:00;101;Offentligt;24827167,254000
2024-08-01 00:00:00;101;Erhverv;130352759,243000
2024-08-01 00:00:00;101;Privat;37099476,043000
2024-07-01 00:00:00;101;Offentligt;22423377,917000
2024-07-01 00:00:00;101;Erhverv;120461629,717000
2024-07-01 00:00:00;101;Privat;34194258,769000
2024-06-01 00:00:00;101;Erhverv;123621705,797000
2024-06-01 00:00:00;101;Privat;36522229,089000
2024-06-01 00:00:00;101;Offentligt;23768062,013000
2024-05-01 00:00:00;101;Offentligt;25091709,884000
2024-05-01 00:00:00;101;Erhverv;127787953,857000
2024-05-01 00:00:00;101;Privat;37517300,275000
2024-04-01 00:00:00;101;Privat;39828101,849000
2024-04-01 00:00:00;101;Offentligt;26141999,619000
2024-04-01 00:00:00;101;Erhverv;126640406,466000
2024-03-01 00:00:00;101;Erhverv;131704629,556000
2024-03-01 00:00:00;101;Offentligt;27146432,622000
2024-03-01 00:00:00;101;Privat;42981212,195000
2024-02-01 00:00:00;101;Privat;41885406,032000
2024-02-01 00:00:00;101;Erhverv;129196722,196000
2024-02-01 00:00:00;101;Offentligt;27059695,265000
2024-01-01 00:00:00;101;Erhverv;145185024,467000
2024-01-01 00:00:00;101;Offentligt;29688138,516000
2024-01-01 00:00:00;101;Privat;47964437,384000
2023-12-01 00:00:00;101;Erhverv;136900468,381000
2023-12-01 00:00:00;101;Privat;46743412,888000
2023-12-01 00:00:00;101;Offentligt;27952181,378000
2023-11-01 00:00:00;101;Offentligt;27698950,939000
2023-11-01 00:00:00;101;Privat;43351045,110000
2023-11-01 00:00:00;101;Erhverv;134525352,039000
2023-10-01 00:00:00;101;Erhverv;130070466,988000
2023-10-01 00:00:00;101;Privat;40623470,317000
2023-10-01 00:00:00;101;Offentligt;26483170,497000
2023-09-01 00:00:00;101;Offentligt;24936363,119000
2023-09-01 00:00:00;101;Privat;36029585,737000
2023-09-01 00:00:00;101;Erhverv;123610980,514000
2023-08-01 00:00:00;101;Privat;36394457,281000
2023-08-01 00:00:00;101;Offentligt;24963252,311000
2023-08-01 00:00:00;101;Erhverv;127571983,791000
2023-07-01 00:00:00;101;Erhverv;120340026,054000
2023-07-01 00:00:00;101;Privat;33151665,556000
2023-07-01 00:00:00;101;Offentligt;21813337,845000
2023-06-01 00:00:00;101;Offentligt;23804192,841000
2023-06-01 00:00:00;101;Privat;34321473,045000
2023-06-01 00:00:00;101;Erhverv;124487631,098000
2023-05-01 00:00:00;101;Offentligt;24487430,968000
2023-05-01 00:00:00;101;Erhverv;123269682,442000
2023-05-01 00:00:00;101;Privat;36475656,792000
2023-04-01 00:00:00;101;Privat;37157327,655000
2023-04-01 00:00:00;101;Offentligt;23950777,166000
2023-04-01 00:00:00;101;Erhverv;121255532,244000
2023-03-01 00:00:00;101;Privat;41519999,771000
2023-03-01 00:00:00;101;Erhverv;134681299,136000
2023-03-01 00:00:00;101;Offentligt;28027205,111000
2023-02-01 00:00:00;101;Offentligt;25165888,393000
2023-02-01 00:00:00;101;Privat;37919220,812000
2023-02-01 00:00:00;101;Erhverv;123796798,324000
2023-01-01 00:00:00;101;Offentligt;28032089,977000
2023-01-01 00:00:00;101;Erhverv;136902946,387000
2023-01-01 00:00:00;101;Privat;43047384,226000
2022-12-01 00:00:00;101;Privat;42982043,176000
2022-12-01 00:00:00;101;Erhverv;137755935,466000
2022-12-01 00:00:00;101;Offentligt;27229486,899000
2022-11-01 00:00:00;101;Erhverv;128119130,324000
2022-11-01 00:00:00;101;Privat;38901705,399000
2022-11-01 00:00:00;101;Offentligt;26553996,766000
2022-10-01 00:00:00;101;Erhverv;124604462,266000
2022-10-01 00:00:00;101;Offentligt;25444154,051000
2022-10-01 00:00:00;101;Privat;37013731,936000
2022-09-01 00:00:00;101;Privat;34948061,699000
2022-09-01 00:00:00;101;Offentligt;25083046,687000
2022-09-01 00:00:00;101;Erhverv;124203716,866000
2022-08-01 00:00:00;101;Privat;36319752,629000
2022-08-01 00:00:00;101;Offentligt;25835656,114000
2022-08-01 00:00:00;101;Erhverv;133789052,585000
2022-07-01 00:00:00;101;Erhverv;123519102,269000
2022-07-01 00:00:00;101;Offentligt;22324140,463000
2022-07-01 00:00:00;101;Privat;33512365,672000
2022-06-01 00:00:00;101;Erhverv;127297436,650000
2022-06-01 00:00:00;101;Offentligt;24336347,313000
2022-06-01 00:00:00;101;Privat;35709796,946000
2022-05-01 00:00:00;101;Offentligt;24865719,800000
2022-05-01 00:00:00;101;Privat;38380751,160000
2022-05-01 00:00:00;101;Erhverv;127220542,635000
2022-04-01 00:00:00;101;Offentligt;24391742,308000
2022-04-01 00:00:00;101;Erhverv;127819694,899000
2022-04-01 00:00:00;101;Privat;39005862,357000
2022-03-01 00:00:00;101;Offentligt;28125722,487000
2022-03-01 00:00:00;101;Privat;43303119,516000
2022-03-01 00:00:00;101;Erhverv;138165019,795000
2022-02-01 00:00:00;101;Privat;42268430,903000
2022-02-01 00:00:00;101;Erhverv;129084505,846000
2022-02-01 00:00:00;101;Offentligt;25758551,025000
2022-01-01 00:00:00;101;Offentligt;28245807,380000
2022-01-01 00:00:00;101;Erhverv;137312379,777000
2022-01-01 00:00:00;101;Privat;49860208,726000
2021-12-01 00:00:00;101;Erhverv;140359003,640000
2021-12-01 00:00:00;101;Offentligt;27962883,535000
2021-12-01 00:00:00;101;Privat;50713105,368000
2021-11-01 00:00:00;101;Privat;45112189,045000
2021-11-01 00:00:00;101;Offentligt;27719486,472000
2021-11-01 00:00:00;101;Erhverv;134105310,080000
2021-10-01 00:00:00;101;Offentligt;26508979,120000
2021-10-01 00:00:00;101;Privat;43102766,346000
2021-10-01 00:00:00;101;Erhverv;129729820,055000
2021-09-01 00:00:00;101;Erhverv;127215547,485000
2021-09-01 00:00:00;101;Offentligt;25728436,455000
2021-09-01 00:00:00;101;Privat;38865789,919000
2021-08-01 00:00:00;101;Erhverv;125430616,514000
2021-08-01 00:00:00;101;Offentligt;24814191,047000
2021-08-01 00:00:00;101;Privat;38138785,612000
2021-07-01 00:00:00;101;Privat;35664601,436000
2021-07-01 00:00:00;101;Erhverv;127654124,009000
2021-07-01 00:00:00;101;Offentligt;23190389,641000
2021-06-01 00:00:00;101;Privat;37367031,135000
2021-06-01 00:00:00;101;Offentligt;24284951,278000
2021-06-01 00:00:00;101;Erhverv;123490607,980000
2021-05-01 00:00:00;101;Privat;42260590,285000
2021-05-01 00:00:00;101;Offentligt;24186936,790000
2021-05-01 00:00:00;101;Erhverv;118068746,954000
2021-04-01 00:00:00;101;Offentligt;23525037,914000
2021-04-01 00:00:00;101;Erhverv;114025824,924000
2021-04-01 00:00:00;101;Privat;43673657,114000
2021-03-01 00:00:00;101;Erhverv;122501555,054000
2021-03-01 00:00:00;101;Offentligt;25587475,561000
2021-03-01 00:00:00;101;Privat;49101353,457000
2021-02-01 00:00:00;101;Privat;48456499,953000
2021-02-01 00:00:00;101;Erhverv;118081326,665000
2021-02-01 00:00:00;101;Offentligt;23818403,698000
2021-01-01 00:00:00;101;Offentligt;25985886,755000
2021-01-01 00:00:00;101;Erhverv;125074632,630000
2021-01-01 00:00:00;101;Privat;54897976,432000
